id,gender,bdate,educ,jobcat,salary,salbegin,jobtime,prevexp,minority
9,Female,1/23/1946,15,Clerical,27900.0,12750.0,98.0,115,No
13,Male,7/17/1960,15,Clerical,27750.0,14250.0,98.0,34,Yes
14,Female,2/26/1949,15,Clerical,35100.0,16800.0,98.0,137,Yes
17,Male,7/18/1962,15,Clerical,46000.0,14250.0,97.0,48,No
23,Female,3/15/1965,15,Clerical,24000.0,11100.0,97.0,75,Yes
25,Female,7/1/1942,15,Clerical,21150.0,9000.0,97.0,171,Yes
26,Male,11/8/1966,15,Clerical,31050.0,12600.0,96.0,14,No
28,Male,4/11/1963,15,Clerical,32550.0,14250.0,96.0,43,No
30,Male,9/17/1961,15,Clerical,31200.0,14250.0,96.0,54,No
33,Male,3/18/1961,15,Clerical,42000.0,15000.0,96.0,68,No
38,Male,4/27/1962,15,Clerical,31350.0,15000.0,96.0,49,Yes
40,Female,8/28/1933,15,Clerical,19200.0,9000.0,96.0,23,Yes
42,Male,9/23/1960,15,Clerical,35100.0,16500.0,95.0,90,No
46,Female,11/18/1940,15,Clerical,22350.0,12750.0,95.0,165,No
49,Male,9/16/1958,15,Clerical,34800.0,16500.0,94.0,93,No
52,Male,11/12/1963,15,Clerical,45150.0,15000.0,94.0,40,No
56,Male,4/16/1962,15,Clerical,26850.0,13500.0,94.0,5,No
57,Male,4/15/1963,15,Clerical,33900.0,15750.0,94.0,78,No
58,Female,11/14/1964,15,Clerical,26400.0,13500.0,94.0,3,No
59,Male,5/7/1961,15,Clerical,28050.0,14250.0,94.0,36,Yes
70,Male,2/8/1962,15,Clerical,41100.0,20250.0,93.0,27,No
74,Female,4/28/1933,15,Clerical,33900.0,19500.0,93.0,192,No
75,Female,8/12/1965,15,Clerical,24150.0,11550.0,93.0,missing,No
76,Female,9/3/1967,15,Clerical,29250.0,11550.0,93.0,11,No
85,Male,4/9/1962,15,Clerical,25950.0,17100.0,92.0,42,No
86,Male,8/25/1961,15,Clerical,31650.0,15750.0,92.0,64,No
104,Male,11/5/1962,15,Clerical,27450.0,15750.0,91.0,48,No
105,Male,3/7/1966,15,Clerical,31650.0,13500.0,91.0,18,No
110,Male,10/29/1952,15,Clerical,28350.0,18000.0,91.0,151,Yes
115,Male,5/12/1961,15,Clerical,33450.0,14100.0,90.0,85,No
116,Male,6/9/1962,15,Clerical,30300.0,16500.0,90.0,16,No
121,Female,8/6/1936,15,Clerical,18750.0,10500.0,90.0,54,No
122,Female,9/26/1965,15,Clerical,32550.0,13500.0,90.0,22,No
126,Male,1/21/1951,15,Custodial,24300.0,15000.0,90.0,191,Yes
131,Male,2/8/1962,15,Clerical,31500.0,15750.0,89.0,22,No
133,Male,9/12/1959,15,Clerical,27000.0,15750.0,89.0,87,No
141,Female,6/14/1966,15,Clerical,35550.0,13350.0,88.0,32,No
147,Male,9/11/1936,15,Clerical,23700.0,13500.0,88.0,359,Yes
148,Female,10/5/1959,15,Clerical,26550.0,14250.0,88.0,61,Yes
155,Male,3/6/1963,15,Clerical,35250.0,15000.0,87.0,54,Yes
156,Male,1/12/1963,15,Clerical,26700.0,15000.0,87.0,56,Yes
163,Male,11/10/1965,15,Clerical,30900.0,15000.0,86.0,25,No
164,Female,8/13/1965,15,Clerical,29400.0,16500.0,86.0,24,No
165,Female,4/29/1966,15,Clerical,33300.0,13500.0,86.0,24,No
172,Female,6/13/1953,15,Clerical,29850.0,15000.0,86.0,79,Yes
183,Male,3/1/1960,15,Clerical,39300.0,15750.0,84.0,72,No
184,Male,11/5/1964,15,Clerical,38850.0,15000.0,84.0,53,No
186,Male,7/6/1964,15,Clerical,37500.0,20400.0,84.0,33,No
194,Female,4/10/1938,15,Clerical,27150.0,15750.0,84.0,231,Yes
197,Male,10/1/1962,15,Manager,54900.0,25500.0,83.0,49,No
202,Male,3/17/1963,15,Clerical,39600.0,16500.0,83.0,47,No
204,Male,10/21/1960,15,Clerical,33150.0,16500.0,83.0,69,No
207,Male,2/15/1959,15,Clerical,27300.0,17250.0,83.0,91,No
210,Male,5/4/1949,15,Clerical,30600.0,16500.0,83.0,216,Yes
211,Male,11/8/1950,15,Clerical,28950.0,15000.0,83.0,108,Yes
212,Male,5/14/1965,15,Clerical,38400.0,16500.0,83.0,64,Yes
216,Male,5/16/1964,15,Clerical,30150.0,15750.0,82.0,72,No
218,Male,3/21/1964,15,Clerical,80000.0,15750.0,82.0,34,No
222,Female,9/15/1935,15,Clerical,27750.0,19500.0,82.0,265,No
225,Female,10/13/1967,15,Clerical,21900.0,12750.0,82.0,missing,No
228,Female,9/21/1963,15,Clerical,25650.0,14250.0,82.0,51,No
230,Male,2/4/1934,15,Clerical,22500.0,15000.0,82.0,371,Yes
233,Male,7/21/1963,15,Clerical,26550.0,15000.0,81.0,52,No
234,Male,11/12/1960,15,Clerical,50550.0,19500.0,81.0,44,No
250,Female,10/10/1966,15,Clerical,28200.0,12750.0,81.0,19,No
269,Male,3/17/1966,15,Clerical,40200.0,17250.0,79.0,38,No
270,Male,10/29/1947,15,Clerical,28650.0,18000.0,79.0,261,No
271,Male,8/24/1963,15,Clerical,27750.0,16500.0,79.0,55,No
286,Male,3/7/1958,15,Manager,40050.0,25500.0,78.0,133,No
288,Male,1/22/1955,15,Manager,38700.0,23730.0,78.0,176,No
293,Male,9/19/1965,15,Clerical,25050.0,14250.0,78.0,24,No
299,Female,5/11/1965,15,Clerical,32550.0,18000.0,78.0,6,No
304,Female,9/28/1945,15,Clerical,25800.0,13500.0,78.0,51,Yes
306,Male,4/5/1966,15,Clerical,30750.0,16500.0,77.0,41,No
308,Male,2/1/1963,15,Clerical,34500.0,18000.0,77.0,63,No
309,Male,7/19/1964,15,Clerical,26250.0,15750.0,77.0,38,No
316,Male,1/14/1960,15,Clerical,27750.0,15000.0,77.0,52,Yes
319,Male,3/2/1966,15,Clerical,43410.0,15750.0,76.0,12,No
323,Female,5/13/1967,15,Clerical,25500.0,12000.0,76.0,7,No
330,Male,5/9/1959,15,Clerical,27300.0,17250.0,75.0,132,No
333,Female,1/26/1965,15,Clerical,37050.0,18000.0,75.0,5,No
346,Female,8/16/1968,15,Clerical,22950.0,13950.0,73.0,22,No
355,Male,5/19/1961,15,Clerical,25950.0,17250.0,72.0,83,No
356,Male,11/10/1965,15,Clerical,28350.0,15000.0,72.0,48,No
358,Female,4/11/1944,15,Clerical,23550.0,13500.0,72.0,49,No
372,Male,8/22/1935,15,Clerical,21300.0,15750.0,70.0,372,No
374,Male,7/26/1967,15,Clerical,29400.0,15750.0,70.0,15,No
376,Male,10/9/1964,15,Clerical,29850.0,15750.0,70.0,48,No
377,Male,11/29/1965,15,Clerical,25350.0,15750.0,70.0,56,No
390,Female,11/9/1968,15,Clerical,24150.0,13500.0,69.0,7,No
407,Male,9/6/1965,15,Clerical,30300.0,15750.0,68.0,55,No
415,Male,5/2/1963,15,Clerical,31950.0,15750.0,68.0,70,Yes
416,Male,1/16/1965,15,Clerical,35250.0,13500.0,67.0,6,No
417,Male,7/22/1967,15,Clerical,37800.0,15000.0,67.0,36,No
418,Male,6/5/1965,15,Clerical,31200.0,15750.0,67.0,46,No
419,Male,10/20/1964,15,Clerical,29400.0,16500.0,67.0,68,No
421,Male,11/1/1961,15,Clerical,33900.0,15750.0,67.0,96,No
422,Male,7/20/1963,15,Clerical,27150.0,16500.0,67.0,78,No
424,Female,7/6/1966,15,Clerical,31350.0,11100.0,67.0,47,No
428,Male,2/28/1964,15,Clerical,31950.0,15750.0,67.0,58,Yes
435,Male,5/24/1964,15,Clerical,40350.0,16500.0,66.0,80,No
438,Male,10/11/1964,15,Clerical,32400.0,15000.0,66.0,64,No
441,Female,8/2/1949,15,Clerical,23850.0,13500.0,66.0,122,No
445,Male,8/4/1963,15,Clerical,28050.0,16500.0,66.0,84,Yes
447,Male,7/2/1961,15,Clerical,49000.0,20550.0,66.0,86,Yes
451,Male,7/19/1969,15,Clerical,28500.0,14250.0,65.0,20,No
453,Male,8/7/1930,15,Clerical,24450.0,15750.0,65.0,338,No
457,Male,5/27/1968,15,Clerical,31650.0,14250.0,65.0,10,No
463,Female,10/15/1934,15,Clerical,20700.0,14250.0,65.0,241,No
469,Female,6/1/1964,15,Clerical,25200.0,13950.0,64.0,57,No
471,Male,8/3/1966,15,Clerical,26400.0,15750.0,64.0,32,Yes
472,Male,2/21/1966,15,Clerical,39150.0,15750.0,63.0,46,No
102,Male,3/28/1963,14,Clerical,39900.0,15750.0,91.0,59,No
114,Male,8/25/1961,14,Clerical,37800.0,16500.0,90.0,60,No
282,Male,9/15/1963,14,Clerical,27900.0,15000.0,79.0,47,Yes
292,Male,5/7/1963,14,Clerical,25950.0,15000.0,78.0,53,No
369,Male,11/14/1967,14,Clerical,28050.0,15000.0,71.0,15,No
388,Male,1/2/1959,14,Clerical,30150.0,16500.0,69.0,110,No
8,Female,5/6/1966,12,Clerical,21900.0,9750.0,98.0,missing,No
10,Female,2/13/1946,12,Clerical,24000.0,13500.0,98.0,244,No
15,Male,8/29/1962,12,Clerical,27300.0,13500.0,97.0,66,No
16,Male,11/17/1964,12,Clerical,40800.0,15000.0,97.0,24,No
19,Male,8/19/1962,12,Clerical,42300.0,14250.0,97.0,103,No
20,Female,1/23/1940,12,Clerical,26250.0,11550.0,97.0,48,No
22,Male,9/24/1940,12,Clerical,21750.0,12750.0,97.0,315,Yes
24,Female,3/27/1933,12,Clerical,16950.0,9000.0,97.0,124,Yes
31,Male,2/24/1964,12,Clerical,36150.0,14250.0,96.0,83,No
37,Male,10/9/1954,12,Clerical,29100.0,13500.0,96.0,113,Yes
41,Female,3/18/1961,12,Clerical,23550.0,11550.0,96.0,52,Yes
43,Male,1/18/1964,12,Clerical,23250.0,14250.0,95.0,46,No
45,Male,8/2/1938,12,Custodial,30750.0,13500.0,95.0,307,No
47,Female,4/28/1938,12,Clerical,30000.0,16500.0,95.0,228,No
48,Male,6/7/1947,12,Custodial,30750.0,14100.0,94.0,240,No
51,Male,7/8/1962,12,Clerical,35550.0,15000.0,94.0,48,No
54,Male,6/4/1931,12,Clerical,25050.0,13500.0,94.0,444,No
55,Male,6/25/1960,12,Clerical,27000.0,15000.0,94.0,120,No
60,Male,2/16/1959,12,Clerical,30900.0,15000.0,94.0,102,Yes
73,Female,2/9/1968,12,Clerical,26400.0,10500.0,93.0,missing,No
77,Female,9/9/1968,12,Clerical,27600.0,11400.0,93.0,6,No
78,Female,8/20/1968,12,Clerical,22950.0,10500.0,93.0,10,No
81,Female,3/12/1968,12,Clerical,24300.0,10950.0,93.0,5,No
82,Female,8/28/1947,12,Clerical,24750.0,14250.0,93.0,193,Yes
83,Female,10/12/1967,12,Clerical,22950.0,11250.0,93.0,missing,Yes
87,Male,10/20/1959,12,Clerical,24150.0,14100.0,92.0,130,No
91,Female,11/4/1967,12,Clerical,20100.0,11250.0,92.0,24,No
93,Female,3/5/1968,12,Clerical,25950.0,10950.0,92.0,missing,No
94,Female,8/4/1950,12,Clerical,24600.0,10050.0,92.0,44,No
95,Female,8/8/1968,12,Clerical,28500.0,10500.0,92.0,6,No
99,Female,7/7/1968,12,Clerical,22050.0,10950.0,92.0,5,Yes
107,Female,8/16/1960,12,Clerical,25200.0,14400.0,91.0,83,No
108,Female,7/16/1930,12,Clerical,21000.0,11550.0,91.0,108,No
109,Male,11/10/1963,12,Clerical,30450.0,15000.0,91.0,49,Yes
111,Male,11/27/1940,12,Custodial,30750.0,9000.0,91.0,314,Yes
112,Male,6/21/1948,12,Custodial,30750.0,15000.0,91.0,240,Yes
117,Female,1/14/1932,12,Clerical,31500.0,18750.0,90.0,205,No
118,Female,3/4/1964,12,Clerical,31650.0,14250.0,90.0,48,No
119,Female,7/23/1963,12,Clerical,25200.0,14100.0,90.0,55,No
123,Female,4/24/1949,12,Clerical,33300.0,15000.0,90.0,3,No
125,Male,8/6/1956,12,Clerical,27450.0,15000.0,90.0,173,Yes
127,Male,9/1/1950,12,Custodial,30750.0,15000.0,90.0,209,Yes
128,Female,7/25/1946,12,Clerical,19650.0,9750.0,90.0,229,Yes
132,Male,5/17/1953,12,Clerical,27300.0,17250.0,89.0,175,No
135,Female,5/22/1968,12,Clerical,26250.0,10950.0,89.0,missing,No
136,Male,8/25/1939,12,Clerical,22200.0,15000.0,88.0,324,No
138,Male,1/9/1947,12,Clerical,30900.0,15000.0,88.0,252,No
140,Female,4/5/1965,12,Clerical,22350.0,13500.0,88.0,26,No
142,Female,11/13/1966,12,Clerical,28500.0,13950.0,88.0,34,No
143,Female,8/24/1939,12,Clerical,24450.0,13200.0,88.0,107,No
145,Male,1/15/1964,12,Clerical,26700.0,13500.0,88.0,38,Yes
149,Male,6/28/1962,12,Clerical,27600.0,15000.0,87.0,75,No
150,Male,3/5/1954,12,Clerical,25800.0,15000.0,87.0,143,No
153,Female,5/13/1967,12,Clerical,26700.0,12900.0,87.0,18,No
154,Female,6/7/1940,12,Clerical,20850.0,12000.0,87.0,163,No
157,Female,7/2/1967,12,Clerical,26550.0,13050.0,87.0,11,Yes
158,Female,9/20/1964,12,Clerical,27750.0,12000.0,87.0,11,Yes
166,Female,7/12/1942,12,Clerical,21900.0,9750.0,86.0,156,No
167,Female,8/26/1932,12,Clerical,18150.0,9750.0,86.0,72,No
169,Male,5/23/1965,12,Clerical,25500.0,14400.0,86.0,37,Yes
170,Male,6/13/1964,12,Clerical,26550.0,15000.0,86.0,38,Yes
171,Male,1/21/1930,12,Clerical,26700.0,13500.0,86.0,367,Yes
177,Female,8/11/1962,12,Clerical,28500.0,16500.0,85.0,69,No
178,Female,1/17/1938,12,Clerical,17100.0,10200.0,85.0,72,No
179,Male,1/19/1965,12,Clerical,25200.0,13050.0,85.0,29,Yes
180,Female,1/23/1960,12,Clerical,24000.0,12750.0,85.0,59,Yes
181,Female,1/4/1939,12,Clerical,27450.0,10200.0,85.0,101,Yes
182,Female,3/8/1943,12,Clerical,18450.0,10200.0,85.0,228,Yes
188,Female,2/4/1934,12,Clerical,34500.0,18750.0,84.0,208,No
189,Female,3/28/1950,12,Clerical,36000.0,19980.0,84.0,240,No
191,Female,10/23/1931,12,Clerical,16500.0,10200.0,84.0,288,No
192,Male,10/9/1949,12,Clerical,19650.0,12750.0,84.0,180,Yes
193,Female,7/22/1966,12,Clerical,24750.0,12000.0,84.0,41,Yes
195,Female,11/6/1955,12,Clerical,26400.0,12750.0,84.0,36,Yes
201,Male,5/8/1955,12,Clerical,29340.0,19500.0,83.0,150,No
203,Male,3/17/1964,12,Clerical,29100.0,15000.0,83.0,50,No
206,Male,5/22/1943,12,Custodial,33750.0,15000.0,83.0,284,No
208,Female,11/28/1968,12,Clerical,24000.0,11250.0,83.0,16,No
214,Female,9/13/1968,12,Clerical,20400.0,10950.0,83.0,9,Yes
215,Female,9/15/1968,12,Clerical,19200.0,11100.0,83.0,7,Yes
219,Male,2/2/1963,12,Clerical,25350.0,15000.0,82.0,32,No
220,Male,8/17/1963,12,Clerical,29850.0,15750.0,82.0,85,No
221,Female,5/22/1947,12,Clerical,24000.0,13800.0,82.0,97,No
224,Female,11/20/1934,12,Clerical,16200.0,10200.0,82.0,missing,No
227,Female,7/17/1965,12,Clerical,33900.0,12000.0,82.0,11,No
229,Female,8/21/1940,12,Clerical,17250.0,10200.0,82.0,358,No
237,Female,6/4/1969,12,Clerical,22650.0,11250.0,81.0,missing,No
238,Female,6/15/1969,12,Clerical,27300.0,11250.0,81.0,5,No
239,Female,9/14/1969,12,Clerical,27750.0,11225.0,81.0,5,No
242,Female,11/3/1967,12,Clerical,40800.0,18000.0,81.0,4,No
243,Female,2/10/1969,12,Clerical,23100.0,10950.0,81.0,missing,No
245,Female,3/16/1969,12,Clerical,26700.0,11550.0,81.0,18,No
246,Female,1/14/1968,12,Clerical,24900.0,11250.0,81.0,missing,No
247,Female,5/13/1968,12,Clerical,19650.0,10950.0,81.0,11,No
248,Female,4/9/1969,12,Clerical,22050.0,10950.0,81.0,9,No
249,Female,5/9/1969,12,Clerical,25500.0,12000.0,81.0,11,No
251,Female,1/19/1969,12,Clerical,23100.0,11250.0,81.0,13,No
252,Male,9/18/1969,12,Clerical,25500.0,11400.0,81.0,9,Yes
255,Male,8/15/1932,12,Custodial,30600.0,15750.0,80.0,460,No
259,Female,3/15/1969,12,Clerical,19650.0,11250.0,80.0,5,No
260,Female,2/20/1969,12,Clerical,22350.0,11250.0,80.0,5,No
261,Female,3/27/1969,12,Clerical,23400.0,11250.0,80.0,18,No
262,Female,6/20/1968,12,Clerical,24300.0,10950.0,80.0,8,No
263,Female,10/13/1968,12,Clerical,28500.0,11250.0,80.0,4,No
264,Female,1/16/1969,12,Clerical,19950.0,11250.0,80.0,8,No
265,Female,9/24/1969,12,Clerical,23400.0,11250.0,80.0,missing,No
267,Female,8/24/1969,12,Clerical,18150.0,10950.0,80.0,missing,No
268,Male,5/16/1936,12,Clerical,22350.0,15000.0,80.0,272,Yes
273,Male,11/12/1939,12,Custodial,30000.0,15750.0,79.0,308,No
275,Male,1/14/1963,12,Clerical,33900.0,16500.0,79.0,94,No
279,Female,4/16/1969,12,Clerical,24450.0,12000.0,79.0,8,No
280,Female,10/20/1969,12,Clerical,24750.0,10950.0,79.0,5,No
291,Male,9/23/1934,12,Custodial,35250.0,15750.0,78.0,387,No
294,Male,10/10/1968,12,Clerical,26700.0,12750.0,78.0,25,No
296,Male,2/12/1964,12,Clerical,26850.0,15000.0,78.0,48,No
297,Female,4/16/1942,12,Clerical,23400.0,15300.0,78.0,209,No
298,Female,8/24/1966,12,Clerical,24600.0,13500.0,78.0,47,No
301,Male,8/4/1968,12,Clerical,31500.0,13500.0,78.0,7,Yes
303,Male,2/10/1938,12,Custodial,35250.0,15750.0,78.0,281,Yes
305,Male,10/25/1941,12,Custodial,30750.0,15750.0,77.0,317,No
311,Female,2/15/1951,12,Clerical,22500.0,12000.0,77.0,63,No
312,Female,3/12/1963,12,Clerical,25650.0,14250.0,77.0,64,No
313,Female,10/25/1969,12,Clerical,21300.0,11250.0,77.0,missing,No
314,Female,11/24/1966,12,Clerical,29850.0,13500.0,77.0,38,No
315,Female,9/19/1969,12,Clerical,34500.0,12150.0,77.0,4,No
317,Male,2/27/1969,12,Clerical,27750.0,11550.0,77.0,12,Yes
320,Male,11/10/1936,12,Clerical,22050.0,15000.0,76.0,385,No
321,Female,10/26/1953,12,Clerical,22050.0,12000.0,76.0,6,No
322,Female,3/2/1938,12,Clerical,22500.0,14250.0,76.0,90,No
324,Female,10/14/1966,12,Clerical,29160.0,15000.0,76.0,22,No
327,Male,3/2/1965,12,Clerical,26700.0,15750.0,76.0,18,Yes
331,Female,2/4/1942,12,Clerical,24450.0,12000.0,75.0,144,No
334,Female,5/9/1966,12,Clerical,24450.0,10950.0,75.0,32,Yes
337,Female,1/27/1970,12,Clerical,26100.0,11550.0,74.0,2,No
341,Male,1/20/1945,12,Manager,59400.0,33750.0,74.0,272,Yes
342,Female,6/1/1948,12,Clerical,24450.0,14250.0,74.0,117,Yes
344,Male,10/13/1963,12,Clerical,35700.0,16500.0,73.0,72,No
345,Female,5/5/1969,12,Clerical,22200.0,16500.0,73.0,7,No
347,Female,8/10/1944,12,Clerical,23100.0,12000.0,73.0,228,No
350,Female,4/21/1939,12,Clerical,37650.0,15750.0,73.0,132,No
351,Female,1/27/1966,12,Clerical,27900.0,13500.0,73.0,32,No
353,Male,3/10/1955,12,Custodial,31200.0,15750.0,73.0,155,Yes
354,Female,5/8/1946,12,Clerical,20550.0,11250.0,73.0,154,Yes
359,Female,6/12/1941,12,Clerical,19950.0,10200.0,72.0,56,No
